TIDB,,,,ORA,,,,Compare
trace,ISSUER_FE,SEQUENCE_IN_MONTH,,TRACE,ISSUER_FE,SEQUENCE_IN_MONTH,,
2846472,130017,10982,,2846472,130017,10982,,0
2847684,130017,11181,,2847684,130017,11181,,0
2848418,130017,11204,,2848418,130017,11204,,0
2849080,130017,10988,,2849080,130017,10988,,0
2851696,130017,10954,,2851696,130017,10954,,0
2854308,130017,10970,,2854308,130017,10970,,0
2854534,130017,11272,,2854534,130017,11272,,0
2862276,130017,10948,,2862276,130017,10948,,0
2862606,130017,10992,,2862606,130017,10992,,0
2865990,130017,11043,,2865990,130017,11043,,0
2866967,130017,11238,,2866967,130017,11238,,0
2869173,130017,11182,,2869173,130017,11182,,0
2871057,980478,,,2871057,980478,,,0
2871890,130017,11175,,2871890,130017,11175,,0
2873383,130017,10974,,2873383,130017,10974,,0
2881770,130017,11253,,2881770,130017,11253,,0
2885911,130017,11032,,2885911,130017,11032,,0
2887209,130017,11157,,2887209,130017,11157,,0
2887273,130017,11177,,2887273,130017,11177,,0
2896147,130017,11142,,2896147,130017,11142,,0
2899603,130017,11005,,2899603,130017,11005,,0
2905189,130017,11009,,2905189,130017,11009,,0
2910060,130017,11112,,2910060,130017,11112,,0
2912236,130017,11038,,2912236,130017,11038,,0
2916034,980478,,,2916034,980478,,,0
2916035,980478,,,2916035,980478,,,0
2916036,980478,,,2916036,980478,,,0
2917945,130017,11077,,2917945,130017,11077,,0
2918232,130017,11134,,2918232,130017,11134,,0
2918991,130017,11085,,2918991,130017,11085,,0
2921415,130017,11260,,2921415,130017,11260,,0
2922832,130017,11044,,2922832,130017,11044,,0
2924098,130017,11223,,2924098,130017,11223,,0
2928814,130017,11042,,2928814,130017,11042,,0
2929623,130017,11275,,2929623,130017,11275,,0
2930059,130017,11126,,2930059,130017,11126,,0
2930064,130017,11232,,2930064,130017,11232,,0
2931160,130017,11111,,2931160,130017,11111,,0
2934410,130017,11197,,2934410,130017,11197,,0
2936308,130017,11258,,2936308,130017,11258,,0
2937529,130017,10998,,2937529,130017,10998,,0
2939847,130017,10984,,2939847,130017,10984,,0
2940134,130017,10980,,2940134,130017,10980,,0
2941645,980478,,,2941645,980478,,,0
2942972,130017,11116,,2942972,130017,11116,,0
2943621,130017,11100,,2943621,130017,11100,,0
2948830,130017,11173,,2948830,130017,11173,,0
2953804,130017,216,,2953804,130017,216,,0
2954124,130017,11137,,2954124,130017,11137,,0
2955029,130017,11028,,2955029,130017,11028,,0
2956906,130017,10976,,2956906,130017,10976,,0
2957100,130017,11097,,2957100,130017,11097,,0
2959615,130017,11138,,2959615,130017,11138,,0
2960123,130017,11160,,2960123,130017,11160,,0
2961272,980478,,,2961272,980478,,,0
2966391,130017,11096,,2966391,130017,11096,,0
2969451,130017,11234,,2969451,130017,11234,,0
2971240,130017,11254,,2971240,130017,11254,,0
2973620,130017,11153,,2973620,130017,11153,,0
2976127,130017,11076,,2976127,130017,11076,,0
2976267,130017,11143,,2976267,130017,11143,,0
2976739,130017,11194,,2976739,130017,11194,,0
2978437,130017,10968,,2978437,130017,10968,,0
2980731,130017,11241,,2980731,130017,11241,,0
2985352,130020,188,,2985352,130020,188,,0
2986766,130017,519,,2986766,130017,519,,0
2987799,130017,11098,,2987799,130017,11098,,0
2999203,130017,11207,,2999203,130017,11207,,0
