Oracle Result,,,,,,,,TIDB Result,,,,,
TRACE,ACQUIRER,ISSUER,ISSUER_RP,FEE_PACKAGE_TYPE,INS_TYPE_FEE,,,TRACE,ACQUIRER,ISSUER,ISSUER_RP,FEE_PACKAGE_TYPE,INS_TYPE_FEE
2530721,970443,970443,970443,,,,,2530721,970443,970443,970443,,
2534740,970443,970443,970443,,,,,2534740,970443,970443,970443,,
2534791,970443,970443,970443,,,,,2534791,970443,970443,970443,,
2536385,970443,970443,970443,,,,,2536385,970443,970443,970443,,
2538996,970443,970443,970443,,,,,2538996,970443,970443,970443,,
2542158,970412,970412,980478,G2_2022,,,,2542158,970412,970412,980478,G2_2022,
2544271,970443,970443,970443,,,,,2544271,970443,970443,970443,,
2545602,970443,970443,970443,,,,,2545602,970443,970443,970443,,
2546803,970443,970443,970443,,,,,2546803,970443,970443,970443,,
2560328,970443,970443,970443,,,,,2560328,970443,970443,970443,,
2564111,970443,970443,970443,,,,,2564111,970443,970443,970443,,
2567582,970443,970443,970443,,,,,2567582,970443,970443,970443,,
2570711,970443,970443,970443,,,,,2570711,970443,970443,970443,,
2572383,970443,970443,970443,,,,,2572383,970443,970443,970443,,
2573076,970443,970443,970443,,,,,2573076,970443,970443,970443,,
2573389,970443,970443,970443,,,,,2573389,970443,970443,970443,,
2576996,970443,970443,970443,,,,,2576996,970443,970443,970443,,
2579123,970443,970443,970443,,,,,2579123,970443,970443,970443,,
2594365,970443,970443,970443,,,,,2594365,970443,970443,970443,,
2601249,970443,970443,970443,,,,,2601249,970443,970443,970443,,
2601515,970443,970443,970443,,,,,2601515,970443,970443,970443,,
2603736,970443,970443,970443,,,,,2603736,970443,970443,970443,,
2605563,970412,970412,980478,G2_2022,,,,2605563,970412,970412,980478,G2_2022,
2611940,970443,970443,970443,,,,,2611940,970443,970443,970443,,
2617265,970443,970443,970443,,,,,2617265,970443,970443,970443,,
2622537,970443,970443,970443,,,,,2622537,970443,970443,970443,,
2623440,970443,970443,970443,,,,,2623440,970443,970443,970443,,
2623623,970443,970443,970443,,,,,2623623,970443,970443,970443,,
2625218,970443,970443,970443,,,,,2625218,970443,970443,970443,,
2627580,970443,970443,970443,,,,,2627580,970443,970443,970443,,
2627646,970443,970443,970443,,,,,2627646,970443,970443,970443,,
2630317,970443,970443,970443,,,,,2630317,970443,970443,970443,,
2633117,970443,970443,970443,,,,,2633117,970443,970443,970443,,
2636289,970443,970443,970443,,,,,2636289,970443,970443,970443,,
2638193,970443,970443,970443,,,,,2638193,970443,970443,970443,,
2641379,970443,970443,970443,,,,,2641379,970443,970443,970443,,
2655385,970443,970443,970443,,,,,2655385,970443,970443,970443,,
2656886,970443,970443,970443,,,,,2656886,970443,970443,970443,,
